direction,entry_at_ms,exit_at_ms,entry_price,exit_price,fees,funding,net_pnl
LONG,1736121600000,1742774400000,98359.868040,86026.891180,93.6684736837600,-1101.9470122083602474768,-13725.9199756521202474768
LONG,1753056000000,1762128000000,117239.543220,110472.801020,83.6842865082000,-1467.4162112154290887995,-6524.6560147236290887995
SHORT,1769990400000,1780272000000,76916.213680,73667.930640,78.0025867577600,-72.1418694111197744704,3215.0767732711202255296
SHORT,1783900800000,1787529600000,63737.150020,77734.543800,92.0273368299100,627.0069109750912453852,-17675.6297336348187546148
