timestamp_ms,timestamp,equity,drawdown
1735690499999,2025-01-01T00:14:59.999000+00:00,100000,0
1735691399999,2025-01-01T00:29:59.999000+00:00,100000,0
1735692299999,2025-01-01T00:44:59.999000+00:00,100000,0
1735693199999,2025-01-01T00:59:59.999000+00:00,100000,0
1735694099999,2025-01-01T01:14:59.999000+00:00,100000,0
1735694999999,2025-01-01T01:29:59.999000+00:00,100000,0
1735695899999,2025-01-01T01:44:59.999000+00:00,100000,0
1735696799999,2025-01-01T01:59:59.999000+00:00,100000,0
1735697699999,2025-01-01T02:14:59.999000+00:00,100000,0
1735698599999,2025-01-01T02:29:59.999000+00:00,100000,0
1735699499999,2025-01-01T02:44:59.999000+00:00,100000,0
1735700399999,2025-01-01T02:59:59.999000+00:00,100000,0
1735701299999,2025-01-01T03:14:59.999000+00:00,100000,0
1735702199999,2025-01-01T03:29:59.999000+00:00,100114.768877,0
1735703099999,2025-01-01T03:44:59.999000+00:00,100073.472244,-0.000412492917912
1735703999999,2025-01-01T03:59:59.999000+00:00,100100.259249,-0.000144929944131
1735704899999,2025-01-01T04:14:59.999000+00:00,100330.181044,0
1735705799999,2025-01-01T04:29:59.999000+00:00,100356.596008,0
1735706699999,2025-01-01T04:44:59.999000+00:00,100453.698902,0
1735707599999,2025-01-01T04:59:59.999000+00:00,100635.999354,0
1735708499999,2025-01-01T05:14:59.999000+00:00,100416.122686,-0.00218487091846
1735709399999,2025-01-01T05:29:59.999000+00:00,100303.021997,-0.00330873007111
1735710299999,2025-01-01T05:44:59.999000+00:00,100365.152968,-0.00269134691818
1735711199999,2025-01-01T05:59:59.999000+00:00,100477.137531,-0.00157857848085
1735712099999,2025-01-01T06:14:59.999000+00:00,100616.653184,-0.000192239065584
1735712999999,2025-01-01T06:29:59.999000+00:00,100523.642749,-0.00111646534243
1735713899999,2025-01-01T06:44:59.999000+00:00,100498.715952,-0.00136415798462
1735714799999,2025-01-01T06:59:59.999000+00:00,100423.191479,-0.00211462972142
1735715699999,2025-01-01T07:14:59.999000+00:00,100623.721977,-0.000121997868544
1735716599999,2025-01-01T07:29:59.999000+00:00,100609.212349,-0.000266177167732
1735717499999,2025-01-01T07:44:59.999000+00:00,100514.713747,-0.00120519106501
1735718399999,2025-01-01T07:59:59.999000+00:00,100416.494728,-0.00218117401336
1735719299999,2025-01-01T08:14:59.999000+00:00,100396.404474,-0.00238080688916
1735720199999,2025-01-01T08:29:59.999000+00:00,100764.725796,0
1735721099999,2025-01-01T08:44:59.999000+00:00,100687.341115,-0.00076797392449
1735721999999,2025-01-01T08:59:59.999000+00:00,100798.581595,0
1735722899999,2025-01-01T09:14:59.999000+00:00,100880.058736,0
1735723799999,2025-01-01T09:29:59.999000+00:00,101316.091655,0
1735724699999,2025-01-01T09:44:59.999000+00:00,101146.440622,-0.00167447273842
1735725599999,2025-01-01T09:59:59.999000+00:00,100870.385651,-0.0043991630277
1735726499999,2025-01-01T10:14:59.999000+00:00,101035.944225,-0.002765083272
1735727399999,2025-01-01T10:29:59.999000+00:00,100942.189706,-0.00369044978534
1735728299999,2025-01-01T10:44:59.999000+00:00,101020.690514,-0.00291563893488
1735729199999,2025-01-01T10:59:59.999000+00:00,101154.997582,-0.00159001468363
1735730099999,2025-01-01T11:14:59.999000+00:00,101056.406521,-0.00256311835837
1735730999999,2025-01-01T11:29:59.999000+00:00,100826.484725,-0.00483246956966
1735731899999,2025-01-01T11:44:59.999000+00:00,100556.382422,-0.00749840642951
1735732799999,2025-01-01T11:59:59.999000+00:00,100631.534854,-0.00675664438311
1735733699999,2025-01-01T12:14:59.999000+00:00,100606.236015,-0.00700634645814
1735734599999,2025-01-01T12:29:59.999000+00:00,100282.931743,-0.0101973920934
1735735499999,2025-01-01T12:44:59.999000+00:00,100388.963639,-0.00915084663191
1735736399999,2025-01-01T12:59:59.999000+00:00,100410.54206,-0.00893786545026
1735737299999,2025-01-01T13:14:59.999000+00:00,100708.547494,-0.00599652189001
1735738199999,2025-01-01T13:29:59.999000+00:00,100818.671849,-0.00490958344577
1735739099999,2025-01-01T13:44:59.999000+00:00,100772.166631,-0.0053685946131
1735739999999,2025-01-01T13:59:59.999000+00:00,100518.434165,-0.00787295954206
1735740899999,2025-01-01T14:14:59.999000+00:00,100361.804592,-0.00941890915363
1735741799999,2025-01-01T14:29:59.999000+00:00,100777.003174,-0.0053208574517
1735742699999,2025-01-01T14:44:59.999000+00:00,100704.082993,-0.00604058696207
1735743599999,2025-01-01T14:59:59.999000+00:00,100440.677441,-0.00864042621383
1735744499999,2025-01-01T15:14:59.999000+00:00,100778.863383,-0.005302497005
1735745399999,2025-01-01T15:29:59.999000+00:00,100707.80341,-0.00600386606869
1735746299999,2025-01-01T15:44:59.999000+00:00,100392.312015,-0.00911779782786
1735747199999,2025-01-01T15:59:59.999000+00:00,100184.712724,-0.0111668236788
1735748099999,2025-01-01T16:14:59.999000+00:00,100384.499138,-0.00919491170397
1735748999999,2025-01-01T16:29:59.999000+00:00,100473.789156,-0.00831361026269
1735749899999,2025-01-01T16:44:59.999000+00:00,100804.906304,-0.0050454507513
1735750799999,2025-01-01T16:59:59.999000+00:00,100717.848537,-0.00590471965654
1735751699999,2025-01-01T17:14:59.999000+00:00,100995.391675,-0.00316534100991
1735752599999,2025-01-01T17:29:59.999000+00:00,100883.03507,-0.00427431199018
1735753499999,2025-01-01T17:44:59.999000+00:00,100742.03125,-0.00566603384953
1735754399999,2025-01-01T17:59:59.999000+00:00,100525.502958,-0.00780318984462
1735755299999,2025-01-01T18:14:59.999000+00:00,100864.432983,-0.00445791645712
1735756199999,2025-01-01T18:29:59.999000+00:00,100698.874408,-0.00609199621281
1735757099999,2025-01-01T18:44:59.999000+00:00,100340.226171,-0.00963189033527
1735757999999,2025-01-01T18:59:59.999000+00:00,100343.574547,-0.00959884153122
1735758899999,2025-01-01T19:14:59.999000+00:00,100355.107841,-0.00948500676172
1735759799999,2025-01-01T19:29:59.999000+00:00,100475.277323,-0.00829892190534
1735760699999,2025-01-01T19:44:59.999000+00:00,100274.002741,-0.0102855222375
1735761599999,2025-01-01T19:59:59.999000+00:00,100029.94336,-0.0126944128437
1735762499999,2025-01-01T20:14:59.999000+00:00,100001.296146,-0.0129771637228
1735763399999,2025-01-01T20:29:59.999000+00:00,100124.06992,-0.011765374241
1735764299999,2025-01-01T20:44:59.999000+00:00,100101.003332,-0.01199304378
1735765199999,2025-01-01T20:59:59.999000+00:00,99920.1910466,-0.0137776791986
1735766099999,2025-01-01T21:14:59.999000+00:00,100063.427117,-0.0123639248032
1735766999999,2025-01-01T21:29:59.999000+00:00,99642.2758668,-0.0165207299346
1735767899999,2025-01-01T21:44:59.999000+00:00,99846.1547404,-0.014508424977
1735768799999,2025-01-01T21:59:59.999000+00:00,99606.9319015,-0.0168695784217
1735769699999,2025-01-01T22:14:59.999000+00:00,99789.2323541,-0.0150702546458
1735770599999,2025-01-01T22:29:59.999000+00:00,99605.0716928,-0.0168879388684
1735771499999,2025-01-01T22:44:59.999000+00:00,99591.6781902,-0.0170201340846
1735772399999,2025-01-01T22:59:59.999000+00:00,99869.2213282,-0.014280755438
1735773299999,2025-01-01T23:14:59.999000+00:00,99864.7568274,-0.0143248205101
1735774199999,2025-01-01T23:29:59.999000+00:00,100063.055075,-0.0123675968926
1735775099999,2025-01-01T23:44:59.999000+00:00,99963.7199302,-0.013348044746
1735775999999,2025-01-01T23:59:59.999000+00:00,99913.4942953,-0.0138437768067
1735776899999,2025-01-02T00:14:59.999000+00:00,99869.9654117,-0.0142734112593
1735777799999,2025-01-02T00:29:59.999000+00:00,98874.4442603,-0.0240993050061
1735778699999,2025-01-02T00:44:59.999000+00:00,98874.4442603,-0.0240993050061
1735779599999,2025-01-02T00:59:59.999000+00:00,98874.4442603,-0.0240993050061
1735780499999,2025-01-02T01:14:59.999000+00:00,98874.4442603,-0.0240993050061
1735781399999,2025-01-02T01:29:59.999000+00:00,98874.4442603,-0.0240993050061
1735782299999,2025-01-02T01:44:59.999000+00:00,98923.5123581,-0.0236149979525
1735783199999,2025-01-02T01:59:59.999000+00:00,99050.5075696,-0.0223615424607
1735784099999,2025-01-02T02:14:59.999000+00:00,98951.0502671,-0.0233431960248
1735784999999,2025-01-02T02:29:59.999000+00:00,98904.2625576,-0.0238049954166
1735785899999,2025-01-02T02:44:59.999000+00:00,98939.2865002,-0.0234593055862
1735786799999,2025-01-02T02:59:59.999000+00:00,98652.6783597,-0.0262881567173
1735787699999,2025-01-02T03:14:59.999000+00:00,98901.3216159,-0.0238340228069
1735788599999,2025-01-02T03:29:59.999000+00:00,98769.2465959,-0.0251376165185
1735789499999,2025-01-02T03:44:59.999000+00:00,98900.5195409,-0.0238419393679
1735790399999,2025-01-02T03:59:59.999000+00:00,98917.095758,-0.0236783304406
1735791299999,2025-01-02T04:14:59.999000+00:00,98829.6695808,-0.0245412355897
1735792199999,2025-01-02T04:29:59.999000+00:00,98886.3495489,-0.0239817986123
1735793099999,2025-01-02T04:44:59.999000+00:00,98142.8260053,-0.0313204506605
1735793999999,2025-01-02T04:59:59.999000+00:00,98120.1005464,-0.0315447532222
1735794899999,2025-01-02T05:14:59.999000+00:00,98423.5522623,-0.02854965431
1735795799999,2025-01-02T05:29:59.999000+00:00,98167.4229726,-0.0310776761231
1735796699999,2025-01-02T05:44:59.999000+00:00,98120.6352631,-0.0315394755148
1735797599999,2025-01-02T05:59:59.999000+00:00,98262.6025416,-0.0301382442176
1735798499999,2025-01-02T06:14:59.999000+00:00,98392.8060532,-0.0288531224817
1735799399999,2025-01-02T06:29:59.999000+00:00,98515.7908896,-0.0276392497949
1735800299999,2025-01-02T06:44:59.999000+00:00,98341.7406103,-0.0293571435321
1735801199999,2025-01-02T06:59:59.999000+00:00,98323.5602432,-0.0295365855815
1735802099999,2025-01-02T07:14:59.999000+00:00,98186.4054147,-0.0308903175127
1735802999999,2025-01-02T07:29:59.999000+00:00,98109.9409295,-0.0316450296615
1735803899999,2025-01-02T07:44:59.999000+00:00,98144.6975137,-0.0313019786848
1735804799999,2025-01-02T07:59:59.999000+00:00,98069.8371785,-0.0320408577116
1735805699999,2025-01-02T08:14:59.999000+00:00,97794.4393386,-0.0347590620502
1735806599999,2025-01-02T08:29:59.999000+00:00,97794.4393386,-0.0347590620502
1735807499999,2025-01-02T08:44:59.999000+00:00,97579.1884601,-0.0368836098392
1735808399999,2025-01-02T08:59:59.999000+00:00,97216.5789929,-0.040462601698
1735809299999,2025-01-02T09:14:59.999000+00:00,97128.3122147,-0.0413338036636
1735810199999,2025-01-02T09:29:59.999000+00:00,97022.5511201,-0.0423776762891
1735811099999,2025-01-02T09:44:59.999000+00:00,97110.2877675,-0.0415117067677
1735811999999,2025-01-02T09:59:59.999000+00:00,96725.3132881,-0.0453114435433
1735812899999,2025-01-02T10:14:59.999000+00:00,96725.3132881,-0.0453114435433
1735813799999,2025-01-02T10:29:59.999000+00:00,96725.3132881,-0.0453114435433
1735814699999,2025-01-02T10:44:59.999000+00:00,96725.3132881,-0.0453114435433
1735815599999,2025-01-02T10:59:59.999000+00:00,96634.2865778,-0.0462098863153
1735816499999,2025-01-02T11:14:59.999000+00:00,96796.1931814,-0.0446118518777
1735817399999,2025-01-02T11:29:59.999000+00:00,96738.140183,-0.0451848408022
1735818299999,2025-01-02T11:44:59.999000+00:00,96566.6067003,-0.0468778935037
1735819199999,2025-01-02T11:59:59.999000+00:00,96579.1508155,-0.0467540818265
1735820099999,2025-01-02T12:14:59.999000+00:00,96385.4463385,-0.048665964469
1735820999999,2025-01-02T12:29:59.999000+00:00,96562.2308461,-0.0469210836236
1735821899999,2025-01-02T12:44:59.999000+00:00,96517.8888574,-0.0473587435056
1735822799999,2025-01-02T12:59:59.999000+00:00,96304.6388985,-0.0494635420172
1735823699999,2025-01-02T13:14:59.999000+00:00,96836.1593159,-0.0442173821156
1735824599999,2025-01-02T13:29:59.999000+00:00,96664.042386,-0.0459161934998
1735825499999,2025-01-02T13:44:59.999000+00:00,96624.6596987,-0.0463049045792
1735826399999,2025-01-02T13:59:59.999000+00:00,96732.5974344,-0.0452395482874
1735827299999,2025-01-02T14:14:59.999000+00:00,96935.6370669,-0.0432355267224
1735828199999,2025-01-02T14:29:59.999000+00:00,96818.6558993,-0.0443901425954
1735829099999,2025-01-02T14:44:59.999000+00:00,95656.3326408,-0.0558623898916
1735829999999,2025-01-02T14:59:59.999000+00:00,95656.3326408,-0.0558623898916
1735830899999,2025-01-02T15:14:59.999000+00:00,95656.3326408,-0.0558623898916
1735831799999,2025-01-02T15:29:59.999000+00:00,95656.3326408,-0.0558623898916
1735832699999,2025-01-02T15:44:59.999000+00:00,95656.3326408,-0.0558623898916
1735833599999,2025-01-02T15:59:59.999000+00:00,95656.3326408,-0.0558623898916
1735834499999,2025-01-02T16:14:59.999000+00:00,95656.3326408,-0.0558623898916
1735835399999,2025-01-02T16:29:59.999000+00:00,95656.3326408,-0.0558623898916
1735836299999,2025-01-02T16:44:59.999000+00:00,95656.3326408,-0.0558623898916
1735837199999,2025-01-02T16:59:59.999000+00:00,95656.3326408,-0.0558623898916
1735838099999,2025-01-02T17:14:59.999000+00:00,95656.3326408,-0.0558623898916
1735838999999,2025-01-02T17:29:59.999000+00:00,95656.3326408,-0.0558623898916
1735839899999,2025-01-02T17:44:59.999000+00:00,95656.3326408,-0.0558623898916
1735840799999,2025-01-02T17:59:59.999000+00:00,95656.3326408,-0.0558623898916
1735841699999,2025-01-02T18:14:59.999000+00:00,95656.3326408,-0.0558623898916
1735842599999,2025-01-02T18:29:59.999000+00:00,95656.3326408,-0.0558623898916
1735843499999,2025-01-02T18:44:59.999000+00:00,95656.3326408,-0.0558623898916
1735844399999,2025-01-02T18:59:59.999000+00:00,95656.3326408,-0.0558623898916
1735845299999,2025-01-02T19:14:59.999000+00:00,95656.3326408,-0.0558623898916
1735846199999,2025-01-02T19:29:59.999000+00:00,95656.3326408,-0.0558623898916
1735847099999,2025-01-02T19:44:59.999000+00:00,95656.3326408,-0.0558623898916
1735847999999,2025-01-02T19:59:59.999000+00:00,95656.3326408,-0.0558623898916
1735848899999,2025-01-02T20:14:59.999000+00:00,95656.3326408,-0.0558623898916
1735849799999,2025-01-02T20:29:59.999000+00:00,95656.3326408,-0.0558623898916
1735850699999,2025-01-02T20:44:59.999000+00:00,95656.3326408,-0.0558623898916
1735851599999,2025-01-02T20:59:59.999000+00:00,95656.3326408,-0.0558623898916
1735852499999,2025-01-02T21:14:59.999000+00:00,95656.3326408,-0.0558623898916
1735853399999,2025-01-02T21:29:59.999000+00:00,95656.3326408,-0.0558623898916
1735854299999,2025-01-02T21:44:59.999000+00:00,95656.3326408,-0.0558623898916
1735855199999,2025-01-02T21:59:59.999000+00:00,95656.3326408,-0.0558623898916
1735856099999,2025-01-02T22:14:59.999000+00:00,95656.3326408,-0.0558623898916
1735856999999,2025-01-02T22:29:59.999000+00:00,95656.3326408,-0.0558623898916
1735857899999,2025-01-02T22:44:59.999000+00:00,95656.3326408,-0.0558623898916
1735858799999,2025-01-02T22:59:59.999000+00:00,95656.3326408,-0.0558623898916
1735859699999,2025-01-02T23:14:59.999000+00:00,95648.1106331,-0.055943541933
1735860599999,2025-01-02T23:29:59.999000+00:00,95917.4618079,-0.0532850187868
1735861499999,2025-01-02T23:44:59.999000+00:00,95967.2578234,-0.0527935271127
1735862399999,2025-01-02T23:59:59.999000+00:00,96069.1133096,-0.0517882032339
1735863299999,2025-01-03T00:14:59.999000+00:00,95912.2881959,-0.0533360828568
1735864199999,2025-01-03T00:29:59.999000+00:00,96298.6923421,-0.0495222351261
1735865099999,2025-01-03T00:44:59.999000+00:00,96014.1436821,-0.052330758978
1735865999999,2025-01-03T00:59:59.999000+00:00,95873.8094566,-0.0537158718777
1735866899999,2025-01-03T01:14:59.999000+00:00,95856.6718669,-0.0538850216097
1735867799999,2025-01-03T01:29:59.999000+00:00,96179.6992661,-0.0506967087369
1735868699999,2025-01-03T01:44:59.999000+00:00,95989.2456744,-0.0525765048151
1735869599999,2025-01-03T01:59:59.999000+00:00,96376.9432236,-0.0487498910668
1735870499999,2025-01-03T02:14:59.999000+00:00,96537.3251956,-0.0471669048957
1735871399999,2025-01-03T02:29:59.999000+00:00,96682.8330331,-0.0457307279259
1735872299999,2025-01-03T02:44:59.999000+00:00,96397.9610224,-0.0485424432823
1735873199999,2025-01-03T02:59:59.999000+00:00,96122.7895341,-0.0512584135073
1735874099999,2025-01-03T03:14:59.999000+00:00,96128.2864969,-0.0512041579329
1735874999999,2025-01-03T03:29:59.999000+00:00,96194.2500499,-0.0505530910399
1735875899999,2025-01-03T03:44:59.999000+00:00,96382.1168356,-0.0486988269967
1735876799999,2025-01-03T03:59:59.999000+00:00,96537.9718971,-0.0471605218869
1735877699999,2025-01-03T04:14:59.999000+00:00,96430.9427989,-0.0482169098358
1735878599999,2025-01-03T04:29:59.999000+00:00,96261.5070059,-0.0498892581294
1735879499999,2025-01-03T04:44:59.999000+00:00,96176.1424079,-0.050731815285
1735880399999,2025-01-03T04:59:59.999000+00:00,96163.2083779,-0.0508594754601
1735881299999,2025-01-03T05:14:59.999000+00:00,96042.2751974,-0.0520530980972
1735882199999,2025-01-03T05:29:59.999000+00:00,95868.6358446,-0.0537669359478
1735883099999,2025-01-03T05:44:59.999000+00:00,95924.8988751,-0.0532116141861
1735883999999,2025-01-03T05:59:59.999000+00:00,96078.8138321,-0.0516924581026
1735884899999,2025-01-03T06:14:59.999000+00:00,96151.8911016,-0.0509711781133
1735885799999,2025-01-03T06:29:59.999000+00:00,95861.8454789,-0.0538339575397
1735886699999,2025-01-03T06:44:59.999000+00:00,95908.7313376,-0.053371189405
1735887599999,2025-01-03T06:59:59.999000+00:00,95650.3740884,-0.0559212014024
1735888499999,2025-01-03T07:14:59.999000+00:00,95511.3332659,-0.0572935482846
1735889399999,2025-01-03T07:29:59.999000+00:00,95412.0645856,-0.0582733401284
1735890299999,2025-01-03T07:44:59.999000+00:00,95499.3692881,-0.0574116339465
1735891199999,2025-01-03T07:59:59.999000+00:00,95350.9512939,-0.0588765344557
1735892099999,2025-01-03T08:14:59.999000+00:00,95393.9569436,-0.0584520643735
1735892999999,2025-01-03T08:29:59.999000+00:00,95285.3110916,-0.0595244098443
1735893899999,2025-01-03T08:44:59.999000+00:00,95378.1127569,-0.058608448088
1735894799999,2025-01-03T08:59:59.999000+00:00,95234.2216731,-0.0600286675359
1735895699999,2025-01-03T09:14:59.999000+00:00,95580.8536771,-0.0566073748435
1735896599999,2025-01-03T09:29:59.999000+00:00,95694.9964919,-0.0554807737983
1735897499999,2025-01-03T09:44:59.999000+00:00,95799.4387841,-0.0544499178845
1735898399999,2025-01-03T09:59:59.999000+00:00,95679.1523051,-0.0556371575128
1735899299999,2025-01-03T10:14:59.999000+00:00,95537.5246766,-0.05703503643
1735900199999,2025-01-03T10:29:59.999000+00:00,95749.9661194,-0.0549382180542
1735901099999,2025-01-03T10:44:59.999000+00:00,95751.2595224,-0.0549254520367
1735901999999,2025-01-03T10:59:59.999000+00:00,95745.7625596,-0.0549797076111
1735902899999,2025-01-03T11:14:59.999000+00:00,95863.7855834,-0.0538148085134
1735903799999,2025-01-03T11:29:59.999000+00:00,96101.4483846,-0.0514690527962
1735904699999,2025-01-03T11:44:59.999000+00:00,96162.8850271,-0.0508626669645
1735905599999,2025-01-03T11:59:59.999000+00:00,96389.2305521,-0.0486286139004
1735906499999,2025-01-03T12:14:59.999000+00:00,96583.5643529,-0.0467105197697
1735907399999,2025-01-03T12:29:59.999000+00:00,96625.2765996,-0.0462988157051
1735908299999,2025-01-03T12:44:59.999000+00:00,96385.6736939,-0.0486637204486
1735909199999,2025-01-03T12:59:59.999000+00:00,96315.5065811,-0.0493562768984
1735910099999,2025-01-03T13:14:59.999000+00:00,97001.0101711,-0.0425902876187
1735910999999,2025-01-03T13:29:59.999000+00:00,97044.6625224,-0.0421594345278
1735911899999,2025-01-03T13:44:59.999000+00:00,97088.3148736,-0.0417285814369
1735912799999,2025-01-03T13:59:59.999000+00:00,96893.0110206,-0.0436562500807
1735913699999,2025-01-03T14:14:59.999000+00:00,97347.9655259,-0.039165803422
1735914599999,2025-01-03T14:29:59.999000+00:00,97874.7038976,-0.0339668427915
1735915499999,2025-01-03T14:44:59.999000+00:00,97935.0602915,-0.0333711191225
1735916399999,2025-01-03T14:59:59.999000+00:00,97935.0602915,-0.0333711191225
1735917299999,2025-01-03T15:14:59.999000+00:00,97935.0602915,-0.0333711191225
1735918199999,2025-01-03T15:29:59.999000+00:00,97935.0602915,-0.0333711191225
1735919099999,2025-01-03T15:44:59.999000+00:00,97935.0602915,-0.0333711191225
1735919999999,2025-01-03T15:59:59.999000+00:00,97935.0602915,-0.0333711191225
