symbol,timeframe_minutes,direction,signal_at_ms,entry_at_ms,exit_at_ms,entry_price,stop_price,take_profit,exit_price,exit_reason,atr,macd,macd_signal,histogram,point_indices,prices,histograms,divergence_score,quantity,risk_fraction,pnl,pnl_percent,r_multiple,fees,funding,slippage_cost,holding_bars,ambiguous_exit,leverage_capped,entry_at,exit_at
BTCUSDT,15,LONG,1735689599999,1735689600000,1735723799999,93567.50976,92961.9114924409,95384.30456267734,92943.3191101424,STOP,330.3256717060743,-267.98545691164327,-259.7336495101147,-8.251807401528595,"[175379, 175387]","[93426.1, 93343.4]","[-110.23513953406686, -24.175462464366547]",0.1815987167812607,1.651259,0.009999995896913909,-1153.891502200923,-0.011538915022009232,-1.1538919756527348,123.19107390771299,0.0,61.59549818965929,38,False,False,2025-01-01T00:00:00+00:00,2025-01-01T09:29:59.999000+00:00
BTCUSDT,15,SHORT,1735750799999,1735750800000,1735761599999,94051.28598,94469.63622341734,92796.23524974796,94488.53015066203,STOP,260.3574822782313,182.87276756670326,167.8317535765895,15.041013990113754,"[175448, 175455]","[94430.0, 94489.5]","[94.03314793259264, 76.8392235143079]",0.03816449844799502,2.362759,0.009999997145143418,-1211.2922583976751,-0.012254324189450978,-1.2254327687885784,178.18965896842676,0.0,89.09479172390107,12,False,False,2025-01-01T17:00:00+00:00,2025-01-01T19:59:59.999000+00:00
BTCUSDT,15,SHORT,1735770599999,1735770600000,1735779599999,94705.85504,95204.64210805378,93209.49383583863,95223.6830364754,STOP,243.0947387025258,300.90860181942116,283.7854175057172,17.123184313703973,"[175455, 175477]","[94489.5, 95161.2]","[76.8392235143079, 57.58132855591094]",0.6797954204099285,1.957444,0.009999995813434701,-1162.329878625019,-0.011904870858516048,-1.1904875842570057,148.71057389222733,0.0,74.35524937555145,10,False,False,2025-01-01T22:30:00+00:00,2025-01-02T00:59:59.999000+00:00
BTCUSDT,15,SHORT,1735820099999,1735820100000,1735829099999,96757.74458,97214.92964842703,95386.18937471893,97234.37263435671,STOP,245.95309895134935,462.709256129383,454.47261340858734,8.236642720795658,"[175527, 175532]","[96800.0, 96870.9]","[73.88146232384412, 52.23762567557844]",0.0806281231977045,2.11014,0.009999996233981552,-1169.4921331077478,-0.01212254578713997,-1.2122550352514796,163.74021048748108,0.0,81.87006828846636,10,False,False,2025-01-02T12:15:00+00:00,2025-01-02T14:44:59.999000+00:00
BTCUSDT,15,SHORT,1735936199999,1735936200000,1736129699999,98540.48796,99182.26720843316,96615.15021470054,99202.10366187485,STOP,318.1781389554369,547.9964805125928,541.8405760382242,6.15590447436864,"[175649, 175661]","[98423.0, 98949.0]","[139.84598214560498, 89.54756868834528]",0.5408585909363,1.48498,0.0099999937678934,-1099.9436024527636,-0.011541542963751131,-1.154155015656822,117.45751748266068,0.0,58.72872179103582,215,False,False,2025-01-03T20:30:00+00:00,2025-01-06T02:14:59.999000+00:00
BTCUSDT,15,LONG,1736226899999,1736226900000,1736250299999,101688.03354,101209.26488874062,103124.33949377814,101189.02303576288,STOP,213.02340750625245,12.2622118335712,53.35946792273838,-41.09725608916718,"[175974, 175983]","[101646.2, 101459.4]","[-85.67541286283824, -80.17429869274301]",0.0499258562077307,1.967611,0.009999999558623197,-1141.5318085189547,-0.012117779636038604,-1.2117780170889312,159.67325126643735,0.0,79.83658955233996,26,False,False,2025-01-07T05:15:00+00:00,2025-01-07T11:44:59.999000+00:00
BTCUSDT,15,LONG,1736276399999,1736276400000,1736318699999,96748.44582,95795.32425862642,99607.81050412072,95776.16519377471,STOP,522.4504942490476,-1298.0169244369026,-1216.4452943710476,-81.57163006585506,"[176031, 176039]","[97100.0, 96530.8]","[-357.7039657971925, -169.0988607230181]",0.5216371419360006,0.976386,0.009999993129881379,-1024.5125254573306,-0.011008981354315857,-1.1008988917621834,75.19133393971818,0.0,37.59563050083664,47,False,False,2025-01-07T19:00:00+00:00,2025-01-08T06:44:59.999000+00:00
BTCUSDT,15,SHORT,1736352899999,1736352900000,1736454599999,94962.60368,96257.17759562156,91078.88193313534,91097.09770952197,TAKE_PROFIT,533.9850637477025,-263.3033501722675,-286.3896139711436,23.086263798876075,"[176108, 176124]","[96015.8, 96064.5]","[47.71713887367912, 40.89333761413286]",0.014134266532196583,0.710944,0.009999994512590465,2695.2470653376668,0.029284384335675744,2.928440040522555,52.91121133786892,0.0,26.455716653494193,113,False,False,2025-01-08T16:15:00+00:00,2025-01-09T20:29:59.999000+00:00
BTCUSDT,15,SHORT,1736486099999,1736486100000,1736494199999,93670.86208,94313.04551545762,91744.31177362712,94331.90812456072,STOP,308.76367697175095,344.64630909801053,275.8474068354567,68.79890226255384,"[176266, 176272]","[93649.0, 93862.0]","[150.62918839470987, 114.15792204547168]",0.15116030445777517,1.475158,0.009999994708423441,-1086.0808771978673,-0.01146474235242564,-1.146474841908504,110.93351619576775,0.0,55.466721310658286,9,False,False,2025-01-10T05:15:00+00:00,2025-01-10T07:29:59.999000+00:00
BTCUSDT,15,SHORT,1736499599999,1736499600000,1736506799999,94613.47352,95174.97852099175,92928.95851702474,95194.01351669595,STOP,320.71901399450144,505.945894421704,473.06277725236777,32.88311716933623,"[176278, 176287]","[94208.1, 94975.2]","[70.1101745808046, 63.224204020445256]",0.21992607372271045,1.66777,0.009999994347982781,-1094.8292833516816,-0.01169112687005718,-1.1691133477905953,126.62209306207616,0.0,63.311010335190886,8,False,False,2025-01-10T09:00:00+00:00,2025-01-10T10:59:59.999000+00:00
