symbol,timeframe_minutes,direction,signal_at_ms,entry_at_ms,exit_at_ms,entry_price,stop_price,take_profit,exit_price,exit_reason,atr,macd,macd_signal,histogram,point_indices,prices,histograms,divergence_score,quantity,risk_fraction,pnl,pnl_percent,r_multiple,fees,funding,slippage_cost,holding_bars,ambiguous_exit,leverage_capped,entry_at,exit_at
ETHUSDT,15,SHORT,1735701299999,1735701300000,1735777799999,3358.37819,3385.256893919848,3291.181430200379,3385.9339452986324,STOP,11.128446959924174,-2.5114332389607625,-5.501445800064035,2.9900125611032724,"[175396, 175403]","[3365.32, 3368.02]","[4.346297557716207, 3.019263854873481]",0.0710416262364631,37.204174,0.0099999997752852,-1125.5557397085236,-0.011255557397085234,-1.1255557650014274,100.36662487678474,0.0,50.183273438158714,85,False,False,2025-01-01T03:15:00+00:00,2025-01-02T00:29:59.999000+00:00
ETHUSDT,15,SHORT,1735781399999,1735781400000,1735805699999,3390.951674,3427.9336668602673,3298.496691849332,3428.6192535936393,STOP,12.786833430133601,13.217440843573058,9.57516658737412,3.642274256198938,"[175481, 175489]","[3374.14, 3394.93]","[1.9229332824694847, 0.8249641692490925]",1.0147458460405707,26.735834,0.009999999792649903,-1080.0049217058745,-0.01092299359845414,-1.0922993824942522,72.93076650854782,0.0,36.46534442992148,27,False,False,2025-01-02T01:30:00+00:00,2025-01-02T08:14:59.999000+00:00
ETHUSDT,15,SHORT,1735806599999,1735806600000,1735811999999,3417.556352,3454.450807652266,3325.3202128693347,3455.141697813797,STOP,10.695403826133106,14.3629899581274,14.214056033202983,0.14893392492441748,"[175507, 175520]","[3427.7, 3433.23]","[1.8214404891484364, 0.6946771661927365]",0.33380183690046433,26.50654,0.009999999704882651,-1069.1260505333585,-0.010932380795515496,-1.0932381118149028,72.86857830612456,0.0,36.43425076013342,6,False,False,2025-01-02T08:30:00+00:00,2025-01-02T09:59:59.999000+00:00
ETHUSDT,15,SHORT,1735814699999,1735814700000,1735829099999,3466.946472,3500.102962585712,3384.05524553572,3500.802983178229,STOP,12.696481292855973,23.736952181122888,19.688846348436776,4.048105832686112,"[175525, 175526]","[3445.87, 3446.93]","[2.057354053480971, 1.9659417551912437]",0.004405440747711868,29.172361,0.009999999793011452,-1068.9806472774394,-0.01105171553276822,-1.105171576152608,81.30628098560504,0.0,40.65310261195198,16,False,False,2025-01-02T10:45:00+00:00,2025-01-02T14:44:59.999000+00:00
ETHUSDT,15,LONG,1735858799999,1735858800000,1735915499999,3440.688,3411.1051608262055,3514.645097934486,3513.942168914899,TAKE_PROFIT,12.612419586897134,-5.65176247763975,-2.5370061042887775,-3.114756373350972,"[175559, 175577]","[3428.0, 3420.0]","[-5.061468357011597, -3.2148650776847463]",0.21834305002585677,32.335075,0.009999999968531384,2278.72765068227,0.023822026077873402,2.382202615283802,89.95139524365037,0.0,44.97579416801879,63,False,False,2025-01-02T23:00:00+00:00,2025-01-03T14:44:59.999000+00:00
ETHUSDT,15,SHORT,1735922699999,1735922700000,1735933499999,3587.272402,3625.832724061739,3490.871596845652,3626.5578906065516,STOP,17.14136203086955,40.10685894462176,29.56206732762635,10.544791616995411,"[175648, 175649]","[3588.88, 3595.93]","[10.94708571499789, 10.821441678126739]",0.004624462071273522,25.397884,0.009999999834708017,-1071.0546924994383,-0.010936376506145542,-1.093637668691508,73.2864099869229,0.0,36.64316654845681,12,False,False,2025-01-03T16:45:00+00:00,2025-01-03T19:44:59.999000+00:00
ETHUSDT,15,SHORT,1735934399999,1735934400000,1736004599999,3621.17562,3654.600822213757,3537.6126144656073,3655.3317423782,STOP,15.475411106878575,43.01670025559133,41.542069521058345,1.4746307345329868,"[175661, 175662]","[3624.65, 3630.0]","[2.4101729936102174, 2.0049882545573396]",0.05605840079180584,28.979332,0.009999999753572311,-1074.1689392924054,-0.011089454051071831,-1.108945432434669,84.34732906192086,0.0,42.17362662504109,78,False,False,2025-01-03T20:00:00+00:00,2025-01-04T15:29:59.999000+00:00
ETHUSDT,15,LONG,1736050499999,1736050500000,1736064899999,3639.167688,3618.5201657919356,3690.7864935201605,3617.7964617587772,STOP,9.039917104032119,-1.8854801148545448,0.25126865001161347,-2.1367487648661583,"[175783, 175791]","[3630.01, 3627.77]","[-4.083282808750013, -2.6851204382200504]",0.08285269887850087,46.392896,0.009999999831503651,-1126.141709631707,-0.011756379892710455,-1.1756380090801166,134.66863323019496,0.0,67.3342796495456,16,False,False,2025-01-05T04:15:00+00:00,2025-01-05T08:14:59.999000+00:00
ETHUSDT,15,LONG,1736073899999,1736073900000,1736141399999,3616.203096,3588.5378467941455,3685.366219014637,3684.629145770834,TAKE_PROFIT,9.276076602927368,-8.793634084279347,-7.487981805596208,-1.305652278683139,"[175815, 175816]","[3603.92, 3602.08]","[-2.075371862034171, -1.8504413216998357]",0.021525435071220404,34.217546,0.00999999987114873,2241.444880403368,0.02367797793638283,2.3677978241476585,99.92662522843065,0.0,49.96340826761188,75,False,False,2025-01-05T10:45:00+00:00,2025-01-06T05:29:59.999000+00:00
ETHUSDT,15,SHORT,1736143199999,1736143200000,1736180099999,3678.894074,3725.1487105427,3563.25748264325,3725.8937402848087,STOP,14.894355271350008,13.82295499831298,11.677219329253196,2.1457356690597837,"[175882, 175893]","[3684.25, 3689.64]","[3.8635112216834786, 2.2406566908763157]",0.15757409224221783,20.950362,0.009999999808509899,-1046.7132166429164,-0.01080142104406886,-1.0801421250905385,62.0531940969822,0.0,31.026558903152555,41,False,False,2025-01-06T06:00:00+00:00,2025-01-06T16:14:59.999000+00:00
